,Cell IdX,Cell IdY,Cell IdZ,X [mm],Y [mm],Z [mm],Dose,FieldScalingFactor
340,4,8,1,-6.0,10.0,6.0,0.00562412,0.3503039023860497
341,4,8,2,-6.0,10.0,10.0,0.00562412,0.35473721834165856
342,5,6,0,-2.0,2.0,2.0,0.00562412,0.3470356942773573
343,5,6,1,-2.0,2.0,6.0,0.00562412,0.35140451202223466
344,5,6,2,-2.0,2.0,10.0,0.00562412,0.35587789253720287
345,5,7,0,-2.0,6.0,2.0,0.00562412,0.3465272756010873
346,5,7,1,-2.0,6.0,6.0,0.00562412,0.35087778235387973
347,5,7,2,-2.0,6.0,10.0,0.00562412,0.3553319640956487
348,5,8,0,-2.0,10.0,2.0,0.00562412,0.3459247860391484
349,5,8,1,-2.0,10.0,6.0,0.00562412,0.3502536393207531
350,5,8,2,-2.0,10.0,10.0,0.00562412,0.3546851205563683
351,3,6,3,-10.0,2.0,14.0,0.00684408,0.36046650808788994
352,3,6,4,-10.0,2.0,18.0,0.00684408,0.3651608102182063
353,3,6,5,-10.0,2.0,22.0,0.00684408,0.3699715990339115
354,3,7,3,-10.0,6.0,14.0,0.00684408,0.35991949140427193
355,3,7,4,-10.0,6.0,18.0,0.00684408,0.3645933702617515
356,3,7,5,-10.0,6.0,22.0,0.00684408,0.36938270914031734
357,3,8,3,-10.0,10.0,14.0,0.00684408,0.3592678549677243
358,3,8,4,-10.0,10.0,18.0,0.00684408,0.36391745883734544
359,3,8,5,-10.0,10.0,22.0,0.00684408,0.3686813059083823
360,4,6,3,-6.0,2.0,14.0,0.00684408,0.36049488855410006
361,4,6,4,-6.0,2.0,18.0,0.00684408,0.36519024738734635
362,4,6,5,-6.0,2.0,22.0,0.00684408,0.37000214584078167
363,4,7,3,-6.0,6.0,14.0,0.00684408,0.3599382156712185
364,4,7,4,-6.0,6.0,18.0,0.00684408,0.36461278402470626
365,4,7,5,-6.0,6.0,22.0,0.00684408,0.3694028464462117
366,4,8,3,-6.0,10.0,14.0,0.00684408,0.3592769167398413
367,4,8,4,-6.0,10.0,18.0,0.00684408,0.3639268425386726
368,4,8,5,-6.0,10.0,22.0,0.00684408,0.36869102667381837
369,5,6,3,-2.0,2.0,14.0,0.00684408,0.3604596182978272
370,5,6,4,-2.0,2.0,18.0,0.00684408,0.3651536555936393
371,5,6,5,-2.0,2.0,22.0,0.00684408,0.369964165777061
372,5,7,3,-2.0,6.0,14.0,0.00684408,0.3598935489768919
373,5,7,4,-2.0,6.0,18.0,0.00684408,0.36456644493403917
